15.55	28.65
14.9	27.55
14.45	28.35
14.15	28.8
13.75	28.05
13.35	28.45
13	29.15
13.45	27.5
13.6	26.5
12.8	27.35
12.4	27.85
12.3	28.4
12.2	28.65
13.4	25.1
12.95	25.95
12.9	26.5
11.85	27
11.35	28
11.15	28.7
11.25	27.4
10.75	27.7
10.5	28.35
9.65	28.45
10.25	27.25
10.75	26.55
11.7	26.35
11.6	25.9
11.9	25.05
12.6	24.05
11.9	24.5
11.1	25.2
10.55	25.15
10.05	25.95
9.35	26.6
9.3	27.25
9.2	27.8
7.5	28.25
8.55	27.45
8.5	27.05
8.05	27.2
7.85	26.8
7.3	27.4
6.8	26.85
7	26.5
7.55	26.3
8.55	26.3
9	25.85
8.6	25.65
9.4	25.55
8.45	25.05
8.85	24.6
9.65	24.7
10.55	24.35
11.05	23.9
10.55	23.55
9.45	23.35
9.2	23.9
8.35	23.9
7.35	24.75
7.4	25.45
6.6	25.75
6.1	26
5.8	26.95
5.65	25.8
5.3	26.1
6.4	25.4
5.4	25.25
5.35	24.7
4.8	25.05
4.2	25.55
6.4	24.8
6.55	24.3
7.4	24.25
5.45	24.2
4.3	24
4	24.25
3.35	23.3
4.85	23.05
4.3	22.75
5.85	23.4
5.9	23.55
7.55	23.7
6.85	23.25
7.65	23.1
6.95	22.55
6.1	22.6
5.5	22.6
4.7	22.1
3.8	21.85
4.65	21.2
4.15	20.35
5.3	20.4
5.6	20.75
5.8	21.95
6.4	21.95
6.55	21.15
7.45	21.95
7.4	21.55
7.75	21.2
7.65	20.65
6.95	19.8
6.6	20.1
6.05	20.2
5.4	19.65
5.35	19.05
5.8	18.25
6.3	19.1
7	18.9
7.15	17.9
7.35	18.2
8.2	20.05
8.3	19.45
8.3	18.5
8.75	18.8
9.05	18.2
9.35	17.7
8.9	17.65
8.45	17.2
10.05	17.2
10.4	16.75
8.6	20.9
8.65	21.3
8.65	21.9
8.65	22.5
8.95	22.8
9.95	22.65
8.95	22.2
9.65	21.9
10.55	22.3
10.9	22.85
11.35	23.45
12.05	23.4
12.3	22.75
11.7	22.15
11.15	22.05
10.85	21.5
10.85	21.05
9.6	21.3
9.85	20.7
9.35	20.6
9.25	19.65
9.95	19.8
10.7	20.35
11.3	20.7
12.35	21.6
13.1	21.3
12.85	20.75
12	20
11	19.85
10.35	19
9.9	18.65
10.6	18.15
11.4	18.3
11.4	19.25
12.35	18.8
12.8	19.75
12.15	18.1
11.05	17.5
11.95	17.25
12.25	17.5
13.05	17.4
13.75	18.15
13.5	18.65
13.65	19.25
14	19.9
15.2	18.2
15.5	17.15
13.9	17.1
13.75	16.6
12.15	16.4
7.8	13.7
8.85	13.35
9	12.7
9.7	12.1
8.05	12.9
7.7	13.25
6.8	13.2
6.6	13.45
6.2	12.55
5.4	12.85
5.7	12.25
5.2	11.9
5.15	11.35
5.85	11.2
6.1	11.75
7	12.35
7.05	12.45
7.9	12.5
8.55	12.1
7.85	11.85
7.1	11.95
6.9	11.5
6.85	10.9
6.4	10.7
5.9	10.3
6.4	10.25
7.05	10.05
7.35	10.5
7.65	11.1
8.1	11.2
8.8	11.4
8.3	10.55
9	10.9
9.35	10.5
10.15	11
10.4	10.55
10.9	10
11.55	10.2
11.75	10.85
10.1	8.65
11.05	9.1
11.85	9.8
12.85	10.65
12.9	11.7
13.6	11.1
14.05	11.75
14.5	11.8
14.3	12.45
17	12.9
15.8	12.6
15.85	12
16.7	12.2
16.25	11.7
15.55	11.15
14.8	11.35
14.45	10.75
13.75	10.45
12.8	10.1
13.15	9.8
12.45	9.3
11.8	8.95
11.1	8.45
10.35	7.7
10.1	6.75
11.3	7.95
12.35	8.45
13.1	8.95
13.2	9.35
14.1	10.05
11.5	7.5
11.35	6.9
11.95	6.75
12.4	7.1
12.25	7.6
12.95	7.6
13.45	7.95
13.35	8.25
13.75	9
14.3	9.3
14.85	9.55
15.1	10.25
15.45	10.55
16.35	10.85
16.75	11.5
16.25	10.2
15.4	10.1
15.45	9.7
15.15	9.3
15.25	8.65
15.55	8.2
14.25	8.7
14.25	8.25
15.05	7.8
14.3	7.5
13.55	7.45
14.3	6.95
13.95	6.7
13.05	6.95
13.05	6.2
11.55	6.3
10.8	5.85
10.6	5.05
11.35	5.55
12.15	5.4
12.4	5.8
12.8	5.7
13.65	5.9
13.9	5.3
13.1	5.1
12.55	4.9
11.5	4.75
11.35	4.05
12.4	4.35
11.75	3.45
12.65	3.7
13.4	4.35
13.9	4.95
12.75	3
13.55	3.15
13.7	3.65
14.1	4.1
14.65	5.05
14.35	5.75
14.5	6.55
15.15	7.1
13.6	2.55
14.45	2.4
14.6	3.05
15	3.4
15.25	3.5
14.7	4.1
14.7	4.5
15.25	2.7
15.65	2.05
15.95	2.8
16.1	3.55
15.9	4
15.6	4.75
15.55	5.05
15.35	5.5
15.15	5.95
15.5	6.75
15.7	6.35
16.2	5.9
16.35	5.35
16.2	4.55
16.55	4.2
16.95	4.75
17.05	5.1
17.3	4.8
17.3	4.15
17.6	4.3
17.05	3.7
17.25	3.05
16.65	2.8
16.55	2.15
17.2	2.05
18.15	1.95
18.05	2.45
18.15	3.05
18.6	3.45
18.4	3.6
18.85	3.2
19.1	2.65
19.45	2.65
19	2.1
19.9	2.05
20.45	2.8
19.8	3.25
19.45	3.9
18.65	4.2
18.4	4.6
18.65	4.75
18.75	5.15
19.1	4.55
17.9	5.4
17.65	5.7
17.05	6.05
17.4	6.5
16.6	6.85
15.7	7.15
15.75	7.75
16.6	7.95
20.4	3.4
20.7	3.45
21.15	2.85
21.75	2.65
22	3.25
22.2	3.5
21.45	3.75
21.1	4.05
20.15	4.3
20.8	4.7
20.7	5.15
19.75	5.05
19.85	5.5
20.4	5.65
20.55	5.75
18.7	5.75
19.25	5.95
18.4	6
18.45	6.6
17.65	7.05
16.7	7.4
18.65	7.3
18.05	7.35
17.85	7.75
17.5	8.25
17.15	8.6
17.05	9
16.4	8.7
16.05	8.95
16.05	9.6
16.5	9.75
17.25	9.6
17.6	9.9
17.8	9.3
18	8.55
18.8	8.1
18.8	8.35
19.4	7.6
19.25	6.6
20.05	6.95
19.8	7.5
20.05	6.35
21.15	5.7
21.65	4.85
22.15	4.35
23.05	3.35
23.05	3.8
23.15	4.4
22.5	4.75
22.15	5.2
24.15	4.55
23.5	5.05
23.1	5.3
23	5.75
22.2	5.75
21.85	6.2
20.75	6.55
21	7.15
20.75	7.65
20	8.2
19.5	8.65
18.85	9.05
18.75	9.55
18.6	10
16.95	10.35
17.35	10.85
18	10.65
18.5	10.55
18.1	11.1
17.55	11.3
17.95	11.9
18.3	12
18	12.5
19	11.65
19.5	11.05
19.45	10.55
19.4	9.65
20.1	9.4
20.05	9.95
20.05	10.2
19.35	12.2
19.2	12.25
20.05	11.6
20.6	11.15
20.7	10.65
21.3	11.65
21.8	11.15
21.85	10.7
21.65	10.05
20.95	10.2
20.9	9.7
21.65	9.45
21.2	9.25
20.75	8.75
20.55	8.75
21.1	8
21.65	8.65
21.75	8.2
21.95	7.55
22	6.75
22.8	6.45
22.65	6.65
22.75	7.05
23	7.35
22.55	7.9
22.2	8.7
22.9	8.45
22.35	9.2
22.75	9.35
22.4	10.05
23.05	10.9
23.3	9.85
23.95	9.8
23.65	9.1
23.7	8.85
24.25	8.25
24.85	7.95
23.5	7.85
23.85	7.35
23.95	6.9
23.65	6.5
23.6	5.7
24.3	5.65
24.8	6.4
34.05	3.5
33.05	3.85
32	3.8
31.9	4.4
31.05	4.75
30.4	5.65
30.75	6.1
30	6.7
30.1	7.4
29.5	8.15
30.75	8
30.85	7.35
31.5	6.75
31.75	5.95
32.35	6.45
32.8	6
32.05	5.1
32.8	4.8
32.65	4.4
33.65	4.6
33.05	5.15
33.6	5.45
34.5	5.05
34.9	4.65
35.45	4.1
34.6	4.05
34.2	4.2
36.3	5.2
